username,platform,engagement_signal,intent_tier,intent_signal,source,competitor_brand,followers
will.shearman,Instagram,1,1-High,comment,ig-comment,,
_gio_martinez,Instagram,1,1-High,comment,ig-comment,,
hefst_,Instagram,1,1-High,comment,ig-comment,,
humzaddy,Instagram,1,1-High,comment,ig-comment,,
valentinotech,Instagram,1,1-High,comment,ig-comment,,
garrettlovell,Instagram,1,1-High,comment,ig-comment,,
mike_6r4,Instagram,1,1-High,comment,ig-comment,,
kurgan182,Instagram,1,1-High,comment,ig-comment,,
gunthnasty,Instagram,1,1-High,comment,ig-comment,,
isaacbfxs,Instagram,1,1-High,comment,ig-comment,,
bootsyaf,Instagram,1,1-High,comment,ig-comment,,
conner158,Instagram,1,1-High,comment,ig-comment,,
j0elle.26,Instagram,1,1-High,comment,ig-comment,,
ram_rlblendz,Instagram,1,1-High,comment,ig-comment,,
ethann_nelsonn,Instagram,1,1-High,comment,ig-comment,,
nickolaskenneth052020,Instagram,1,1-High,comment,ig-comment,,
its2icy,Instagram,1,1-High,comment,ig-comment,,
1935st,Instagram,1,1-High,comment,ig-comment,,
_glizzytarentino,Instagram,1,1-High,comment,ig-comment,,
fiveestar.sd,Instagram,1,1-High,comment,ig-comment,,
staples_gambles,Instagram,1,1-High,comment,ig-comment,,
sanjib_thapa_sanjib,Instagram,1,1-High,comment,ig-comment,,
farooq.ahmad0,Instagram,1,1-High,comment,ig-comment,,
tsassmaan,Instagram,1,1-High,comment,ig-comment,,
jdkg_lrn,Instagram,1,1-High,comment,ig-comment,,
crimecityfilms,Instagram,1,1-High,comment,ig-comment,,
jayy_tezz,Instagram,1,1-High,comment,ig-comment,,
swaggyv_35,Instagram,1,1-High,comment,ig-comment,,
ak_choudhary_1,Instagram,1,1-High,comment,ig-comment,,
xn_athux,Instagram,1,1-High,comment,ig-comment,,
ryanzinznx,Instagram,1,1-High,comment,ig-comment,,
k_e_l_o.ksh23,Instagram,1,1-High,comment,ig-comment,,
adedijipk,Instagram,1,1-High,comment,ig-comment,,
frankcoficcial,Instagram,1,1-High,comment,ig-comment,,
inksparks2,Instagram,1,1-High,comment,ig-comment,,
jenwilmans,Instagram,1,1-High,comment,ig-comment,,
blasphemary,Instagram,1,1-High,comment,ig-comment,,
lucienne_mitchell,Instagram,1,1-High,comment,ig-comment,,
betta_reierson_art,Instagram,1,1-High,comment,ig-comment,,
xtinar696,Instagram,1,1-High,comment,ig-comment,,
dizer.u,Instagram,1,1-High,comment,ig-comment,,
gandy._,Instagram,1,1-High,comment,ig-comment,,
iamkanyeeast,Instagram,1,1-High,comment,ig-comment,,
jxdxbalfour,Instagram,1,1-High,comment,ig-comment,,
its.celinky,Instagram,1,1-High,comment,ig-comment,,
_ruoy_eman_420_,Instagram,1,1-High,comment,ig-comment,,
snowyrein,Instagram,1,1-High,comment,ig-comment,,
seattlekimonoclub,Instagram,1,1-High,comment,ig-comment,,
nickdaybutch,Instagram,1,1-High,comment,ig-comment,,
mikeygranda,Instagram,1,1-High,comment,ig-comment,,
chistian_223,Instagram,1,1-High,comment,ig-comment,,
brummett18,Instagram,1,1-High,comment,ig-comment,,
jonbart7390,Instagram,1,1-High,comment,ig-comment,,
trae_cranson,Instagram,1,1-High,comment,ig-comment,,
dsmitty311,Instagram,1,1-High,comment,ig-comment,,
captainkurtt,Instagram,1,1-High,comment,ig-comment,,
bbhimmel,Instagram,1,1-High,comment,ig-comment,,
gerarv11,Instagram,1,1-High,comment,ig-comment,,
jshalts,Instagram,1,1-High,comment,ig-comment,,
codyamerson1,Instagram,1,1-High,comment,ig-comment,,
blackfrog42823494,Instagram,1,1-High,comment,ig-comment,,
stefanthurairatnam,Instagram,1,1-High,comment,ig-comment,,
mdmamaaa,Instagram,1,1-High,comment,ig-comment,,
ladybossk_official,Instagram,1,1-High,comment,ig-comment,,
tatevik.mel,Instagram,1,1-High,comment,ig-comment,,
anastasia__skazka,Instagram,1,1-High,comment,ig-comment,,
earth.travelparadise,Instagram,1,1-High,comment,ig-comment,,
param_d27,Instagram,1,1-High,comment,ig-comment,,
zqn_99,Instagram,1,1-High,comment,ig-comment,,
ziddi__love__boy__65,Instagram,1,1-High,comment,ig-comment,,
1234.ad963,Instagram,1,1-High,comment,ig-comment,,
kishasolanki2545__,Instagram,1,1-High,comment,ig-comment,,
v____s____rajput___,Instagram,1,1-High,comment,ig-comment,,
duck.4296630,Instagram,1,1-High,comment,ig-comment,,
